Client version: not initialize
User hash: not initialize
DeviceId hash: not initialize
User gcm token: not initialize
Device params - OS Version: 7.1.1;  Device: Huawei google Nexus 6P ,Build Fingerprint: google/angler/angler:7.1.1/N4F26I/3532671:user/release-keys
01-19 14:47:52.799  1943     1 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:47:52.801  1943     1 V Workspace AppManager.AppManager.getAppVersion: 7.0.43
01-19 14:47:52.801  1943     1 D Workspace AppManager.isApplicationUpdated: Current version: 7.0.43 Previous version: null
01-19 14:47:52.831  1943     1 D Workspace SessionManager.init(): called
01-19 14:47:52.833  1943     1 I AppInfra PRNGFixes.applyOpenSSLFix: No need to apply fix.
01-19 14:47:52.834  1943     1 D Workspace nm.Ctor - nm
01-19 14:47:52.836  1943   632 D Workspace SessionManager.startStateMachine(): state = UNKNOWN
01-19 14:47:52.837  1943   632 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 14:47:52.837  1943   632 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:47:52.838  1943   632 D Workspace SessionManager.nextState(): Got GOT_KTAG
01-19 14:47:52.838  1943   632 D Workspace SessionManager.data is null
01-19 14:47:52.840  1943   632 D Workspace SessionManager.no active site
01-19 14:47:52.841  1943     1 D Workspace AppManager.UpdateReceiver: registerReceiver action: com.CheckPoint.SSLVpn.action.upgradeFinished
01-19 14:47:52.842  1943     1 D Workspace AppManager.DeviceId hash: 7ebb3698-f2f5-430e-8220-8f7cede404a7
01-19 14:47:52.842  1943     1 D Workspace AppManager.Client version: 7.0.43
01-19 14:47:52.843  1943     1 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 14:47:52.843  1943     1 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:47:52.844  1943     1 I Workspace SecureStorage.putJSONObject: Trying to store value.
01-19 14:47:52.852  1943     1 D Workspace AppManager.isApplicationUpdated: Current version: 7.0.43 Previous version: 7.0.43
01-19 14:47:52.853  1943     1 D Workspace AppManager.isApplicationUpdated: Application not updated, return false!
01-19 14:47:52.870  1943     1 D SecMsg czm.init()
01-19 14:47:52.871  1943     1 D SecMsg czm.init() 1
01-19 14:47:52.872  1943     1 D SecMsg czm.init() done
01-19 14:47:52.872  1943     1 I AppInfra cvg.init()
01-19 14:47:52.880  1943     1 D SecMsg czm.INIT_CONTROLLER_OBSERVABLE: libs loaded = true site_and_key ready= false
01-19 14:47:52.881  1943     1 D Dashboard yx.init()
01-19 14:47:52.883  1943     1 D Workspace AppManager.onCreate: Application finished
01-19 14:47:52.883  1943   636 E AppInfra SQLiteOpenHelper.startOpening mParallelDBOpening = 1
01-19 14:47:52.889  1943     1 I Workspace lz.onActivityCreated( CPMobile, Activity HashCode: 43890407, Task ID: 204, null ) CREATED.
01-19 14:47:52.890  1943     1 I Workspace lz.checkIfPasscodeIsNeeded( CPMobile, configurationChange = false ):
01-19 14:47:52.890  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:47:52.891  1943     1 D Workspace lz.checkIfPasscodeIsNeeded: Passcode is not needed.
01-19 14:47:52.896  1943   642 D Workspace SecureStorage.testPasscodeTestKey: called
01-19 14:47:52.896  1943   642 I Workspace mb.isApplicationProtectedByPasscode: Application is not protected by passcode.
01-19 14:47:52.897  1943   638 D Workspace hk.setROMManufacturer: ROM manufacturer is google
01-19 14:47:52.904  1943   636 D SecMsg dau.onCreate: 
01-19 14:47:52.930  1943   638 I Chromium cr_LibraryLoader.Time to load native libraries: 24 ms (timestamps 4166-4190)
01-19 14:47:52.931  1943   638 I Chromium cr_LibraryLoader.Expected native library version number "49.0.2623.105", actual native library version number "49.0.2623.105"
01-19 14:47:52.932  1943   638 I Chromium cr_LibraryLoader.Expected native library version number "49.0.2623.105", actual native library version number "49.0.2623.105"
01-19 14:47:53.055  1943     1 I Workspace lz.onActivityStarted( CPMobile, Activity HashCode: 43890407, Task ID: 204 ) STARTED!
01-19 14:47:53.057  1943     1 I Workspace lz.onActivityResumed( CPMobile, Activity HashCode: 43890407, Task ID: 204 ) RESUMED.
01-19 14:47:53.058  1943     1 D Workspace nv.setCurrentActivity: Setting current activity to: CPMobile
01-19 14:47:53.058  1943     1 D Workspace lz.onActivityResumed: Active activities: 1
01-19 14:47:53.058  1943     1 W Workspace AlarmCenter.descheduleAlarm: failed to find a pending intent for alarm id = 3003
01-19 14:47:53.058  1943     1 I Workspace mb.appFrameworkRecovery: Starting.
01-19 14:47:53.058  1943     1 E Workspace mb.appFrameworkRecovery: Site key is null KeyStore entry key is null Not notifying.
01-19 14:47:53.059  1943     1 I Workspace mb.appFrameworkRecovery: Got null active site.
01-19 14:47:53.059  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:47:53.072  1943     1 V Workspace CPMobileService.In CPMobileService.onCreate(): XXXX   Started    XXXX
01-19 14:47:53.079  1943     1 V Infrastructure ErrorCenter.registerNetworkErrorListenerRegistering listener: NetworkManager
01-19 14:47:53.080  1943     1 V Infrastructure ErrorCenter.registerNetworkConnectivityListenerRegistering listener:NetworkManager
01-19 14:47:53.080  1943     1 D Workspace mv.onServiceConnected: >>>>>>>>>>>>> connected to service
01-19 14:47:53.088  1943     1 I Chromium cr_BrowserStartup.Initializing chromium process, singleProcess=true
01-19 14:47:53.088  1943     1 I Chromium cr_LibraryLoader.Expected native library version number "49.0.2623.105", actual native library version number "49.0.2623.105"
01-19 14:47:53.133  1943   652 W Chromium cr_media.Requires BLUETOOTH permission
01-19 14:47:53.137  1943     1 D Workspace SessionManagerReceiver.Got: com.checkpoint.sslvpn.action.entering_foreground
01-19 14:47:53.137  1943     1 D Workspace SessionManager.nextState(): Got ENTER_FOREGROUND
01-19 14:47:53.138  1943     1 D Workspace SessionManagerReceiver.Got: com.CheckPoint.SSLVpn.Action.SDService_Bound
01-19 14:47:53.138  1943     1 D Workspace mv.getKey: >>>>>>>>>>>>> Sent get request with key id=globalKTag
01-19 14:47:53.140  1943   638 I Workspace hb.registerDeviceWithGCM: Google Play Services status: SUCCESS
01-19 14:47:53.141  1943   638 D Workspace SecureStorage.getString: Failed to get value for key: registration_id
01-19 14:47:53.141  1943   638 V Workspace hb.getRegistrationId: Registration not found.
01-19 14:47:53.143  1943   638 D Infrastructure CleanupManager.cleanOldProcessByExPid: found com.CheckPoint.SSLVpn:sdservice
01-19 14:47:53.144  1943   638 V Infrastructure CleanupManager.cleanOldProcessByExPidfound 0 process with same UID
01-19 14:47:53.150  1943   638 V Infrastructure CleanupManager.killProcessesByExPidfound 0 process with same UID
01-19 14:47:53.153  1943   638 V Infrastructure CleanupManager.cleanOldProcessesByNamefound 0 process with name = logcat
01-19 14:47:53.162  1943     1 V Workspace NetworkManager.onReceive: android.net.conn.CONNECTIVITY_CHANGE
01-19 14:47:53.162  1943     1 V Workspace NetworkManager.onReceive: active site - null
01-19 14:47:53.164  1943   638 V Infrastructure CleanupManager.killProcessesByNamefound 2 process with name = logcat
01-19 14:47:53.166  1943     1 V Workspace NetworkManager.getConnectivityStatusLollipop: Found a network - [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: "cp po", failover: false, available: true, roaming: false, metered: false]
01-19 14:47:53.167  1943     1 V Workspace NetworkManager.updateConnectivityStatus: online status = true
01-19 14:47:53.167  1943     1 V Workspace NetworkManager.onNetConnected: active site null. canceling
01-19 14:47:53.167  1943     1 V Infrastructure lf.Cancel verify
01-19 14:47:53.167  1943     1 D Workspace nm.Service connected
01-19 14:47:53.178  1943   638 I Infrastructure FileExpansionManager.startDownloadServiceIfRequired: Debuggable or full build.
01-19 14:47:53.191  1943     1 D Workspace mv.GET_REPLY: >>>>>>>>>>>>> Got reply with key id='globalKTag', but service doesn't have the key
01-19 14:47:53.413  1943   656 I Workspace hb.doInBackground: Save GCM token 
01-19 14:47:53.414  1943   656 V Workspace hb.setRegistrationId: Saving regId on app version 70043
01-19 14:47:53.415  1943   656 I Workspace SecureStorage.putString: Trying to store value.
01-19 14:47:53.419  1943   656 V Workspace hb.setRegistrationId: Setting registration expiry time to 2017-01-26 14:47:53.419
01-19 14:47:53.420  1943   656 I Workspace SecureStorage.putLong: Trying to store value.
01-19 14:47:53.428  1943   656 I Workspace hb.User gcm token: APA91bEdJv7p9ovutu0dyeu39Ft_tJNWmj2XpMai-bemvZaV1O6nMrpGjHvnh2XdvVs_RcVHfdjOSpoauK2BSAWFEmDC0TrimRxlcEDqVTrkUkeXVpKImasLt7IGe-x1HCzmMnstPinq
01-19 14:47:53.690  1943   613 V Infrastructure CPConnection.MyHostnameVerifier::verify: Session: 1f16270ec5dfbd80, hostname = settings.crashlytics.com
01-19 14:47:54.416  1943   623 V Infrastructure CPConnection.MyHostnameVerifier::verify: Session: 65caec4c228cf35a, hostname = e.crashlytics.com
01-19 14:47:55.061  1943     1 D Workspace CPMobile.gotoNextActivity: Starting...
01-19 14:47:55.063  1943     1 D Workspace nv.getNextActivity: Not from background Previous activity: 'Null'. Current activity: 'CPMobile'.
01-19 14:47:55.063  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:47:55.064  1943     1 D Workspace AppManager.::isApplicationLocked: Application is locked? false
01-19 14:47:55.067  1943     1 D Workspace nv.weekHavePassed: Don't need to ask user yet.
01-19 14:47:55.068  1943     1 D Workspace nv.getNextActivity: Splash Screen Flow Started!
01-19 14:47:55.068  1943     1 D Workspace nv.getNextActivity: Splash Screen Flow: No active site.
01-19 14:47:55.073  1943     1 D Workspace nv.getNextActivity: Splash Screen Flow: No sites. Next activity: CreateNewSite
01-19 14:47:55.075  1943     1 D Workspace nv.getNextActivity: Splash Screen Flow Ended!
01-19 14:47:55.098  1943     1 I Workspace lz.onActivityPaused( CPMobile, Activity HashCode: 43890407, Task ID: 204 ) PAUSED.
01-19 14:47:55.099  1943     1 D Workspace mh.CleanerService - Site is not active, not performing Cleanup
01-19 14:47:55.128  1943     1 I Workspace lz.onActivityCreated( CreateNewSite, Activity HashCode: 140165231, Task ID: 204, null ) CREATED.
01-19 14:47:55.128  1943     1 I Workspace lz.checkIfPasscodeIsNeeded( CreateNewSite, configurationChange = false ):
01-19 14:47:55.129  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:47:55.129  1943     1 D Workspace lz.checkIfPasscodeIsNeeded: Passcode is not needed.
01-19 14:47:55.131  1943     1 V Workspace BaseCommActivity.BaseCommActivity::onCreate class com.CheckPoint.SSLVpn.UI.SiteCreation.CreateNewSite
01-19 14:47:55.202  1943     1 D Workspace CreateNewSite.onCreate: camera detected, adding QR scan button
01-19 14:47:55.204  1943     1 I Workspace lz.onActivityStarted( CreateNewSite, Activity HashCode: 140165231, Task ID: 204 ) STARTED!
01-19 14:47:55.205  1943     1 I Workspace lz.onActivityResumed( CreateNewSite, Activity HashCode: 140165231, Task ID: 204 ) RESUMED.
01-19 14:47:55.206  1943     1 D Workspace nv.setCurrentActivity: Setting current activity to: CreateNewSite
01-19 14:47:55.206  1943     1 D Workspace lz.onActivityResumed: Active activities: 2
01-19 14:47:55.206  1943     1 W Workspace AlarmCenter.descheduleAlarm: failed to find a pending intent for alarm id = 3003
01-19 14:47:55.206  1943     1 I Workspace mb.appFrameworkRecovery: Starting.
01-19 14:47:55.206  1943     1 E Workspace mb.appFrameworkRecovery: Site key is null KeyStore entry key is null Not notifying.
01-19 14:47:55.206  1943     1 I Workspace mb.appFrameworkRecovery: Got null active site.
01-19 14:47:55.206  1943     1 D Workspace AppManager.::isPasscodeNeeded: Passcode is needed = false
01-19 14:47:55.206  1943     1 D Workspace mh.CleanerService - Site is not active, not performing Cleanup
01-19 14:47:55.209  1943     1 D Workspace CreateNewSite.nextStepByStateSTART
01-19 14:47:55.753  1943     1 I Workspace lz.onActivityStopped( CPMobile, Activity HashCode: 43890407, Task ID: 204 ) STOPPED!
01-19 14:47:55.756  1943     1 I Workspace lz.onActivityDestroyed( CPMobile, Activity HashCode: 43890407, Task ID: 204 ) DESTROYED.
01-19 14:47:55.757  1943     1 V Workspace nv.popActivity: removing CPMobile from the stack
01-19 14:47:55.758  1943     1 D Workspace lz.onActivityDestroyed: Active activities: 1
01-19 14:48:06.982  1943     1 I Workspace kw.onCreate: Creating the Database.
01-19 14:48:07.004  1943     1 I Workspace kw.putToSiteStateOrCacheTable: Row ID after insert: 1
01-19 14:48:07.004  1943     1 D Workspace CreateNewSite.createSite: new site name is 172.24.11.149
01-19 14:48:07.005  1943     1 D Workspace CreateNewSite.nextStepByStateVERIFY
01-19 14:48:07.015  1943     1 I Workspace kw.putToSiteStateOrCacheTable: Row ID after insert: 1
01-19 14:48:07.026  1943     1 D Workspace CreateNewSite.runVerify: calling verify
01-19 14:48:07.026  1943     1 D Workspace BaseCommActivity.Activity class com.CheckPoint.SSLVpn.UI.SiteCreation.CreateNewSite showProgress
01-19 14:48:07.028  1943     1 W Workspace CreateNewSite.runVerify: run command return is : true
01-19 14:48:07.029  1943   645 D Workspace CPMobileService.In Service: got VERIFY request for site=172.24.11.149
01-19 14:48:07.030  1943   645 W Workspace lu.handleMessage: can't handle user interaction, no site
01-19 14:48:07.031  1943   645 V Infrastructure VpnSiteModel.fromJSONObject(): not found cn
01-19 14:48:07.032  1943   645 V Infrastructure VpnSiteModel.fromJSONObject(): not found fingerprint
01-19 14:48:07.032  1943   645 V Infrastructure VpnSiteModel.fromJSONObject(): not found CAcert
01-19 14:48:07.032  1943   645 V Infrastructure VpnSiteModel.fromJSONObject(): not found GWcert
01-19 14:48:07.034  1943   645 V Infrastructure VpnSiteModel.fromJSONObject(): state from SQL = DISCONNECTED
01-19 14:48:07.037  1943   645 W Infrastructure VpnSiteModel.fromJSONObject(): We don't have policy for site: 172.24.11.149
org.json.JSONException: No value for policy
	at org.json.JSONObject.get(JSONObject.java:389)
	at org.json.JSONObject.getJSONObject(JSONObject.java:609)
	at com.CheckPoint.Infrastructure.Data.VpnSiteModel.fromJSONObject(SourceFile:1245)
	at lu.handleMessage(SourceFile:453)
	at android.os.Handler.dispatchMessage(Handler.java:102)
	at android.os.Looper.loop(Looper.java:154)
	at android.os.HandlerThread.run(HandlerThread.java:61)

01-19 14:48:07.045  1943   645 V Workspace AlarmCenter.scheduleAlarm: scheduled alarm (code=3005) to 19 Jan 2017 14:48:42 GMT+02:00 [in 34 seconds]
01-19 14:48:07.047  1943   645 V Infrastructure CPConnection.setRequestMethod: called
01-19 14:48:07.047  1943   645 V Infrastructure CPConnection.startAsyncConnection: Sending connection on threadThread[CPConnectionThread 645,5,main]
01-19 14:48:07.048  1943   670 V Infrastructure CPConnection.prepareConnection: Preparing connection 
01-19 14:48:07.049  1943   670 D Infrastructure CPConnection.prepareConnection: SSL reset: true BC mode: false
01-19 14:48:07.049  1943   670 D Infrastructure CPConnection.prepareConnectionDoing SSL reset: Deleting SSL cache file: FAIL
01-19 14:48:07.049  1943   670 V Infrastructure CPConnection.invalidateSSLSession: Session reset! Session: 65caec4c228cf35a
01-19 14:48:07.050  1943   670 D Infrastructure jy.getSocketFactory: Regular mode to: _cpmobile/MobileHello
01-19 14:48:07.051  1943   670 V Infrastructure CPConnection.prepareConnection: Creating URL: https://172.24.11.149/_cpmobile/MobileHello
01-19 14:48:07.051  1943   670 V Infrastructure CPConnection.prepareConnection: Starting connection...	Connect timeout=30000, read timeout=30000
01-19 14:48:07.052  1943   670 V Infrastructure CPConnection.startSyncConnection: Request properties: 
Cookie=[___fnbDropDownState=1;  CheckCookieSupport=1;  CTXSession= ]; X-CPCVPN-MobileAgent=[App] 
01-19 14:48:07.092  1943   670 V Workspace jz.In verifyCallback(): GW CN = gw-af37f3 VPN Certificate
01-19 14:48:07.092  1943   670 V Workspace jz.In verifyCallback(): CA cert fingerprint = ALIA NEAT DOOR WAY FORM LURK GROW IONS LANE FIRE TESS JOLT
01-19 14:48:07.093  1943   670 V Workspace jz.In verifyCallback(): CA cert = MIIC0zCCAbugAwIBAgIBATANBgkqhkiG9w0BAQUFADAcMRowGAYDVQQKExFndy1hZjM3ZjMuLmlq
Z2NidzAeFw0xNjEyMjgxNDM1MTdaFw0zNjEyMjMxNDM1MTdaMBwxGjAYBgNVBAoTEWd3LWFmMzdm
My4uaWpnY2J3MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApp9/xlTFyJix2Lk7Q7qL
tcZFd3a7mBHgCvxosZxpkXBhskp4cpZ+S+se6fxtRvxDleCuo/x/9Jf1tf7Hmpmewz7MwL+wpDj4
eZconJ3vIJBFH8uQXVtzRqSHxmbX58lqSWTotT5gszpDAjA8vul+9GriybcAo/buZv+5yN4U79Ux
BNpu9834Lkg9D9pMVQO7gLV2gXbYs02c/kkO4Ja/6aHxdZ4l87YN2/zTbXfbj9WchxYbDyLFeVpa
VjQHqUGPOWVIiEtenqq2qjWWmeSf41Egau3iDvbk/uqHrCgWqr1L669GXznes3f7wN1sdkzO/Eqi
SHuJs5Wk+BbDx4ctwwIDAQABoyAwHjAPBgNVHRMBAf8EBTADAQH/MAsGA1UdDwQEAwIBhjANBgkq
hkiG9w0BAQUFAAOCAQEAYs+4NqRMwybCBukyx2wVCejESvXuxAJyjuZe4Nz/djSYnow2ZklqLetZ
ns8nitYeUW1DFRZLZJ+wHOXRzcc1wBHo8Zdh29kAgE4HC/6pgiTGWrSIVY1e8+sUgdLREdzTNy+S
rMRfml/LQ1CJhbe4EhSKz4LDi8AtMWRRLmrfrgNP7UF5O8LGeELEI4TYywaPDSB0unYoiHFNYsch
AC7fDzXQJ/4nLvwC5GoycSSDCmq/SowMw0IEzPGqyfPkzNwdVdd9xADSEkD9hdn4Jr4YLnqFaoWA
S/C1cbn0w1vXFBYu7E2tqau4PldNNrJmgFk5GvC3ZE9ksva3Dp39sOrCJA==

01-19 14:48:07.093  1943   670 V Workspace jz.In verifyCallback(): GW cert = MIIDcTCCAlmgAwIBAgICEgswDQYJKoZIhvcNAQEFBQAwHDEaMBgGA1UEChMRZ3ctYWYzN2YzLi5p
amdjYncwHhcNMTYxMjI4MTQ1MTAzWhcNMjExMjI4MTQ1MTAzWjBAMRowGAYDVQQKExFndy1hZjM3
ZjMuLmlqZ2NidzEiMCAGA1UEAxMZZ3ctYWYzN2YzIFZQTiBDZXJ0aWZpY2F0ZTCCASIwDQYJKoZI
hvcNAQEBBQADggEPADCCAQoCggEBANYeJGpVAEO1CcEjZOsXX3IbZGfWJE5TmoNTbEcqwHJ5ttJ7
aFG2lLpv28QCNt4orjEZc0MSp9D4OWBJn6Iw3lZ8wzHBCh7WqHE6SN8D7AaG7J7byjMIt3XiQaA0
m+JEss0n5VdOmBRh5JEqtpVfQMN3r/n9uwf3GCpkmastbgjkw8WGPTnitDdQ/1F10PNsx4NtMMIu
V+McBEnxOl2KWn2i01REgV5ocI5rBx1v7zz7ta+aff4AbOtSd0J5ks+YZn8YCEw57MJdwnfQFiDa
jJOjzRrFSK+Rch2iDW8YydyIn4Trsjv1aL0JENh00a9FYrPznA93m46SaQCpE7/dtzcCAwEAAaOB
mDCBlTBnBgNVHR8EYDBeMFygWqBYhiNodHRwOi8vZ3ctYWYzN2YzOjE4MjY0L0lDQV9DUkwxLmNy
bKQxMC8xGjAYBgNVBAoTEWd3LWFmMzdmMy4uaWpnY2J3MREwDwYDVQQDDAhJQ0FfQ1JMMTAMBgNV
HRMEBTADAQEAMA8GA1UdEQQIMAaHBKwYC5UwCwYDVR0PBAQDAgWgMA0GCSqGSIb3DQEBBQUAA4IB
AQAtKG/TcSS5PIhdqP+KwUYgJ1SvPvWIzNdcVXh2btl/Hd3iOYB0BPSn9vJnki0qjfHKmvSPQFMn
rPx9EB+R+qik6tf2VO2olnV42VGEkX+T0wtSx3OswQrCdce8JE472df7aff2OVZeIBDEYR43jQIt
USk8BKnatPLoC+pHguhWea03RgZ033P6OheJP5WQuGOq5WQVEqDm8gL2DGpT/7shNBTn3WVMOgmC
vBH8wuW24zgBdjfMzb5hrVuds9MwZ0SzPjRm2VhbIn0n+ogliSHoy9T7GS+qIbszm/JfJF1qCWOp
H9kKUZZl3TS1+g7YRJigYp3VA5n258+RJaMRmMlw

01-19 14:48:07.093  1943   670 V Workspace jz.In verifyCallback(): Hashed Chain Identifier = 
01-19 14:48:07.093  1943   670 V Workspace jz.In verifyCallback(): CRL Check Time = Thu Jan 01 02:00:00 GMT+02:00 1970
01-19 14:48:07.093  1943   670 V Workspace jz.In verifyCallback(): trust failed reasons = [GW_CN_DIFFERENT_FROM_HOST]
01-19 14:48:07.094  1943   670 D Infrastructure ke.checkServer: Got user trust.
01-19 14:48:07.131  1943   670 V Infrastructure CPConnection.MyHostnameVerifier::verify: Session: eadfa10c78cbdc49, hostname = 172.24.11.149
01-19 14:48:07.132  1943   670 V Infrastructure CPConnection.MyHostnameVerifier::verify: Session: eadfa10c78cbdc49, hostname = 172.24.11.149
01-19 14:48:07.156  1943   670 V Infrastructure CPConnection.startSyncConnection: Got http status: 200
01-19 14:48:07.157  1943   670 V Infrastructure CPConnection.getHeaderFields: called
01-19 14:48:07.162  1943   670 V Infrastructure CPConnection.startSyncConnection: Received all input:
{"mobilePortal":"\/sslvpn\/","status":"Success","errorMessage":"","gatewayFeatures":["REMOTE_WIPE","PUSH_NOTIFICATIONS","CALENDAR_SYNC","CHAT",""]}
01-19 14:48:07.162  1943   670 V Infrastructure CPConnection.startAsyncConnection: Connection success
01-19 14:48:07.205  1943   645 D Workspace CPMobileService.In Service: got VERIFY_REPLY request
01-19 14:48:07.205  1943   645 D Workspace ll.In Service: finished handling VERIFY request
01-19 14:48:07.205  1943   645 V Infrastructure CPConnection.disconnect: trying disconnect
01-19 14:48:07.207  1943   645 D Workspace AlarmCenter.descheduleAlarm: Canceled alarm for id = 3005
01-19 14:48:07.217  1943     1 D Workspace nm.SyncController::handleMessage: got msg from service: type = VERIFY
01-19 14:48:07.217  1943     1 D Workspace nm.service says: VERIFY Success: certCRLExpirationTime: '0', hashedChainIdentifier: '', cn: 'gw-af37f3 VPN Certificate', fp: 'ALIA NEAT DOOR WAY FORM LURK GROW IONS LANE FIRE TESS JOLT', gw_cert: 'MIIDcTCCAlmgAwIBAgICEgswDQYJKoZIhvcNAQEFBQAwHDEaMBgGA1UEChMRZ3ctYWYzN2YzLi5p
amdjYncwHhcNMTYxMjI4MTQ1MTAzWhcNMjExMjI4MTQ1MTAzWjBAMRowGAYDVQQKExFndy1hZjM3
ZjMuLmlqZ2NidzEiMCAGA1UEAxMZZ3ctYWYzN2YzIFZQTiBDZXJ0aWZpY2F0ZTCCASIwDQYJKoZI
hvcNAQEBBQADggEPADCCAQoCggEBANYeJGpVAEO1CcEjZOsXX3IbZGfWJE5TmoNTbEcqwHJ5ttJ7
aFG2lLpv28QCNt4orjEZc0MSp9D4OWBJn6Iw3lZ8wzHBCh7WqHE6SN8D7AaG7J7byjMIt3XiQaA0
m+JEss0n5VdOmBRh5JEqtpVfQMN3r/n9uwf3GCpkmastbgjkw8WGPTnitDdQ/1F10PNsx4NtMMIu
V+McBEnxOl2KWn2i01REgV5ocI5rBx1v7zz7ta+aff4AbOtSd0J5ks+YZn8YCEw57MJdwnfQFiDa
jJOjzRrFSK+Rch2iDW8YydyIn4Trsjv1aL0JENh00a9FYrPznA93m46SaQCpE7/dtzcCAwEAAaOB
mDCBlTBnBgNVHR8EYDBeMFygWqBYhiNodHRwOi8vZ3ctYWYzN2YzOjE4MjY0L0lDQV9DUkwxLmNy
bKQxMC8xGjAYBgNVBAoTEWd3LWFmMzdmMy4uaWpnY2J3MREwDwYDVQQDDAhJQ0FfQ1JMMTAMBgNV
HRMEBTADAQEAMA8GA1UdEQQIMAaHBKwYC5UwCwYDVR0PBAQDAgWgMA0GCSqGSIb3DQEBBQUAA4IB
AQAtKG/TcSS5PIhdqP+KwUYgJ1SvPvWIzNdcVXh2btl/Hd3iOYB0BPSn9vJnki0qjfHKmvSPQFMn
rPx9EB+R+qik6tf2VO2olnV42VGEkX+T0wtSx3OswQrCdce8JE472df7aff2OVZeIBDEYR43jQIt
USk8BKnatPLoC+pHguhWea03RgZ033P6OheJP5WQuGOq5WQVEqDm8gL2DGpT/7shNBTn3WVMOgmC
vBH8wuW24zgBdjfMzb5hrVuds9MwZ0SzPjRm2VhbIn0n+ogliSHoy9T7GS+qIbszm/JfJF1qCWOp
H9kKUZZl3TS1+g7YRJigYp3VA5n258+RJaMRmMlw
', ca_cert: 'MIIC0zCCAbugAwIBAgIBATANBgkqhkiG9w0BAQUFADAcMRowGAYDVQQKExFndy1hZjM3ZjMuLmlq
Z2NidzAeFw0xNjEyMjgxNDM1MTdaFw0zNjEyMjMxNDM1MTdaMBwxGjAYBgNVBAoTEWd3LWFmMzdm
My4uaWpnY2J3MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApp9/xlTFyJix2Lk7Q7qL
tcZFd3a7mBHgCvxosZxpkXBhskp4cpZ+S+se6fxtRvxDleCuo/x/9Jf1tf7Hmpmewz7MwL+wpDj4
eZconJ3vIJBFH8uQXVtzRqSHxmbX58lqSWTotT5gszpDAjA8vul+9GriybcAo/buZv+5yN4U79Ux
BNpu9834Lkg9D9pMVQO7gLV2gXbYs02c/kkO4Ja/6aHxdZ4l87YN2/zTbXfbj9WchxYbDyLFeVpa
VjQHqUGPOWVIiEtenqq2qjWWmeSf41Egau3iDvbk/uqHrCgWqr1L669GXznes3f7wN1sdkzO/Eqi
